"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
1964,"Baldwin County, AL, USA","Alabama, USA","United States","30.22459, -88.02552","Land (beach, shoreline and inland)",2016-05-04,,1,0,1,2.04,0.9974,0,0,2,1,0,1,0,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,2,22
1967,"Baldwin County, AL, USA","Alabama, USA","United States","30.22932, -88.00947","Land (beach, shoreline and inland)",2016-05-08,,2,0,2,33.72,3.0282,0,26,25,25,7,34,0,20,14,10,26,2,46,33,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,11,0,3,0,0,0,0,0,11,71,0,0,0,0,0,0,0,15,419
3744,"Mobile County, AL, USA","Alabama, USA","United States","30.37855, -88.22528","Land (beach, shoreline and inland)",2016-09-08,,1,0,1,0.12,0.0083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3977,"Mobile County, AL, USA","Alabama, USA","United States","30.3785, -88.22561","Land (beach, shoreline and inland)",2016-09-16,"VAL'S PORCH",1,0,1,3.16,0.0108,0,5,0,4,0,1,0,2,1,0,1,4,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,17,54
5657,"Mobile County, AL, USA","Alabama, USA","United States","30.24744, -88.07746","Land (beach, shoreline and inland)",2016-09-25,"Whitesburg Christian Academy Group 2",34,0,34,4.65,0.1115,0,120,4,2,0,6,0,1,1,0,0,3,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,153
5667,"Mobile County, AL, USA","Alabama, USA","United States","30.24661, -88.08283","Land (beach, shoreline and inland)",2016-09-25,"Dauphin Island Sea Lab Whitesburg Christian Academy",32,0,32,0.46,0,0,27,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,35
5873,"Mobile County, AL, USA","Alabama, USA","United States","30.68867, -88.04657","Land (beach, shoreline and inland)",2016-09-28,,1,0,1,0.14,0.1964,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
5874,"Mobile County, AL, USA","Alabama, USA","United States","30.68862, -88.04661","Land (beach, shoreline and inland)",2016-09-28,"Mobile Baykeeper",1,0,1,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
5875,"Mobile County, AL, USA","Alabama, USA","United States","30.6886, -88.04658","Land (beach, shoreline and inland)",2016-09-28,"MBK #1",1,0,1,0.13,0.016,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
6431,"Mobile County, AL, USA","Alabama, USA","United States","30.24744, -88.07729","Land (beach, shoreline and inland)",2016-10-07,"Dauphin Island Sea Lab",23,0,23,14.64,0.0518,0,128,0,0,1,14,0,0,4,0,10,0,8,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,99,0,0,0,0,0,0,0,1,284
6677,"Mobile County, AL, USA","Alabama, USA","United States","30.24181, -88.07621","Land (beach, shoreline and inland)",2016-10-13,"Cahaba Heights",35,0,35,1.3,0.4285,0,12,4,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,3,34
7617,"Baldwin County, AL, USA","Alabama, USA","United States","30.376920123692, -87.837522625923","Land (beach, shoreline and inland)",2016-09-17,"Pelican Point",9,14,23,200,3,19,200,1,1,1,1,0,0,0,0,2,0,2,1,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,219
10733,"Madison County, AL, USA","Alabama, USA","United States","34.576775926589, -86.559248864651","Land (beach, shoreline and inland)",2016-10-29,"Cub Scout Pack 351",19,22,41,290,0.75,17,146,128,24,12,58,76,12,6,6,104,164,97,46,21,14,6,5,24,2,2,0,6,0,7,2,3,6,23,0,0,0,10,0,16,6,2,0,0,0,0,0,0,0,96,621,139,1890
11286,"Mobile County, AL, USA","Alabama, USA","United States","30.24754, -88.0774","Land (beach, shoreline and inland)",2016-11-17,"Dauphin Island Sea Lab / Everest Academy",30,0,30,4.95,105.2985,0,95,7,0,1,5,0,1,3,0,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,2,9,0,0,0,0,1,0,0,5,140
12721,"Mobile County, AL, USA","Alabama, USA","United States","30.24602, -88.07897","Land (beach, shoreline and inland)",2016-11-22,"Girl Scouts",4,0,4,1.48,0.3763,0,79,0,0,0,7,0,0,2,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,104
12741,"Mobile County, AL, USA","Alabama, USA","United States","30.24707, -88.077","Land (beach, shoreline and inland)",2016-11-22,"Girl Scout Troop 402",23,0,23,9.38,1.0043,0,231,23,0,4,23,0,0,7,0,1,3,1,7,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,329
13341,"Baldwin County, AL, USA","Alabama, USA","United States","30.254431229999, -87.64351978898","Land (beach, shoreline and inland)",2016-09-17,"Gulf State Park",72,19,91,238,2,39,1286,536,55,43,438,83,42,181,48,106,30,84,67,157,26,27,32,32,7,24,28,30,0,9,174,14,100,16,0,0,37,123,22,90,3,2,0,0,3,11,2,5,0,302,16,656,4947
13343,"Baldwin County, AL, USA","Alabama, USA","United States","30.406098217081, -87.437051385641","Land (beach, shoreline and inland)",2016-09-17,"Perdido Bay",15,3,18,278,3,19,60,25,0,2,32,1,36,6,0,38,10,21,7,5,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,6,0,0,0,3,2,0,0,0,0,1,1,0,0,0,0,262
13345,"Baldwin County, AL, USA","Alabama, USA","United States","30.280360676185, -87.518438994884","Land (beach, shoreline and inland)",2016-09-17,FloraBama,45,11,56,226,2,29,1187,287,3,64,368,192,197,690,4,81,6,73,36,32,7,32,66,15,1,5,4,31,0,1,10,1,45,26,0,0,8,46,6,5,71,0,0,0,1,1,2,4,0,97,21,147,3873
13347,"Baldwin County, AL, USA","Alabama, USA","United States","30.277006658391, -87.551212906837","Land (beach, shoreline and inland)",2016-09-17,"Perdido Pass",11,6,17,100,0.75,14,800,270,3,4,85,44,13,61,118,52,18,35,8,5,3,3,11,0,1,5,5,14,0,3,0,0,2,27,0,0,2,7,2,0,0,0,0,0,0,0,0,0,0,38,60,36,1735
13348,"Baldwin County, AL, USA","Alabama, USA","United States","30.343715694255, -87.506716400385","Watercraft (powerboat, sailboat, kayak or canoe)",2016-09-17,"Perdido Beach",27,3,30,330,7.5,20,213,68,10,2,46,93,0,6,0,35,7,32,4,7,0,5,0,6,5,7,2,1,0,0,9,11,1,1,0,0,0,1,2,11,2,0,0,0,0,1,0,0,0,44,112,26,770
13625,"Baldwin County, AL, USA","Alabama, USA",,"30.599327386173, -87.91262447834","Land (beach, shoreline and inland)",2016-09-17,Daphne,173,77,250,1800,2,97,1345,512,100,29,215,72,60,135,17,401,227,337,132,98,56,108,149,442,14,32,22,12,0,7,73,31,24,69,0,1,16,75,16,99,28,8,0,0,3,3,0,1,0,372,133,686,6160
13626,"Baldwin County, AL, USA","Alabama, USA","United States","30.415368731871, -87.825875803828","Watercraft (powerboat, sailboat, kayak or canoe)",2016-09-17,"Weeks Bay",36,9,45,700,4,40,260,45,10,42,42,21,14,15,6,185,51,97,44,15,4,6,12,40,10,4,18,12,0,2,12,23,1,15,0,2,9,6,8,38,0,1,0,0,1,5,0,0,0,55,16,57,1204
13627,"Baldwin County, AL, USA","Alabama, USA","United States","30.355920737233, -87.601423189044","Watercraft (powerboat, sailboat, kayak or canoe)",2016-09-17,"Wolf Bay",24,5,29,136,5,0,23,18,2,4,7,5,2,3,0,39,16,49,6,19,0,11,10,14,1,0,3,3,0,0,13,3,2,1,0,0,0,0,3,17,4,0,0,0,1,0,0,0,0,8,2,21,310
13628,"Baldwin County, AL, USA","Alabama, USA","United States","30.251792264964, -87.816000580788","Land (beach, shoreline and inland)",2016-09-17,"Fort Morgan",82,4,86,1682,13,96,1939,554,111,154,1373,116,134,91,142,764,180,453,183,231,19,112,104,186,32,76,292,111,0,18,268,85,166,141,0,4,76,200,52,109,64,6,0,0,8,5,3,61,0,596,120,1320,10659
13631,"Baldwin County, AL, USA","Alabama, USA","United States","30.304219998694, -87.728966921568","Land (beach, shoreline and inland)",2016-09-17,"Bon Secour",111,88,199,700,3,81,802,816,160,124,189,168,246,307,35,415,298,622,242,248,52,46,66,112,9,14,6,14,0,0,125,110,26,155,0,0,2,10,11,46,1,1,0,0,2,4,6,1,0,139,141,236,6007
13655,"Mobile County, AL, USA","Alabama, USA","United States","30.25160690918, -88.102385401726","Land (beach, shoreline and inland)",2016-09-17,"Dauphin Island",492,57,549,2716,7,76,2417,427,73,79,426,212,169,211,54,368,76,250,132,48,18,27,70,86,13,23,350,22,0,17,53,9,29,46,0,3,65,96,19,52,0,1,0,0,1,15,3,6,0,278,85,466,6795
13657,"Baldwin County, AL, USA","Alabama, USA","United States","30.523428507459, -87.912368327379","Land (beach, shoreline and inland)",2016-09-17,Fairhope,339,326,665,2500,15,0,1221,198,42,39,321,132,160,147,42,300,81,119,33,17,4,62,17,15,2,18,21,8,0,6,20,13,20,18,0,1,73,403,7,131,39,9,0,0,4,5,0,9,0,313,119,160,4349
13658,"Baldwin County, AL, USA","Alabama, USA","United States","30.321442718913, -87.533968314528","Watercraft (powerboat, sailboat, kayak or canoe)",2016-09-17,Josephine,23,2,25,610,2,20,40,18,20,12,14,11,12,34,12,35,19,35,12,5,0,4,8,19,6,3,2,7,0,2,6,10,0,6,0,0,0,0,3,13,0,0,0,0,0,1,3,0,0,22,9,18,421
13659,"Mobile County, AL, USA","Alabama, USA","United States","30.582426184103, -88.073889613152","Land (beach, shoreline and inland)",2016-09-17,"West Mobile Bay",79,52,131,1336,4,84,738,1237,91,92,299,113,131,95,24,1170,164,988,266,102,139,167,117,132,19,11,16,14,0,23,39,79,17,550,0,2,5,123,43,63,9,48,0,0,11,6,2,5,0,451,137,361,8099
13660,"Baldwin County, AL, USA","Alabama, USA","United States","30.284150022448, -87.554648816586","Watercraft (powerboat, sailboat, kayak or canoe)",2016-09-17,"Boggy Point",22,8,30,105,5,11,276,3,7,1,4,17,1,12,1,18,0,25,20,4,0,5,3,0,3,1,5,0,0,0,0,0,0,5,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,66,0,65,551
13661,"Mobile County, AL, USA","Alabama, USA","United States","30.628892779955, -88.10248196125","Watercraft (powerboat, sailboat, kayak or canoe)",2016-09-17,"Dog River",111,108,219,385,2,122,576,1188,227,975,768,272,516,487,118,842,307,555,557,122,69,150,253,824,14,7,259,19,0,33,210,137,37,473,0,1,1,279,89,22,1,21,0,0,21,16,1,13,0,1272,283,466,12481
13972,"Baldwin County, AL, USA","Alabama, USA","United States","30.247496554816, -87.69060999155","Land (beach, shoreline and inland)",2016-09-17,"Gulf Shores",147,83,230,1500,4,0,7711,971,71,85,615,221,157,856,127,217,44,170,112,147,45,65,71,85,13,69,27,26,0,7,178,7,113,257,0,6,124,286,12,58,19,0,0,0,8,15,5,3,0,502,45,1391,14941
13980,"Mobile County, AL, USA","Alabama, USA","United States","30.781926110619, -88.073284775019","Land (beach, shoreline and inland)",2016-09-17,Chickasaw,38,12,50,2735,5,29,288,121,29,22,27,37,25,34,11,113,41,116,35,17,12,19,11,28,0,2,3,0,0,0,35,9,0,38,0,0,1,8,1,23,0,5,0,0,4,2,0,0,0,33,120,140,1410
13999,"Mobile County, AL, USA","Alabama, USA","United States","30.534217386074, -88.123849779367","Land (beach, shoreline and inland)",2016-09-17,"Theodore Industrial Canal",60,60,120,3500,9,362,187,261,290,160,122,48,48,38,32,351,332,368,36,42,45,153,86,101,12,8,19,15,0,62,22,56,18,68,0,6,8,54,38,92,6,35,0,0,3,8,0,6,0,121,340,68,3765
14002,"Baldwin County, AL, USA","Alabama, USA","United States","30.747810877988, -87.924080193043","Land (beach, shoreline and inland)",2016-09-17,"Blakeley State Park",5,0,5,40,0.25,4,3,27,0,5,2,2,2,1,0,24,6,10,4,2,1,1,1,0,2,0,3,0,0,0,8,1,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,8,3,24,147
14012,"Baldwin County, AL, USA","Alabama, USA","United States","30.293471052444, -87.485250011086","Watercraft (powerboat, sailboat, kayak or canoe)",2016-09-17,"Ono Island",23,0,23,351,3,22,25,49,16,18,42,4,12,11,3,107,8,73,29,16,0,31,12,35,4,1,7,14,0,1,8,16,2,4,0,0,2,2,5,22,7,0,0,0,6,3,1,4,0,11,3,15,629
14024,"Mobile County, AL, USA","Alabama, USA","United States","30.786866374972, -88.101690709591","Land (beach, shoreline and inland)",2016-09-17,Chickasabogue,215,35,250,3787,5,95,1536,564,34,63,205,193,46,72,10,299,147,329,107,51,128,66,30,57,1,2,14,0,0,23,136,11,9,75,0,2,13,40,7,75,1,32,0,0,5,3,5,2,0,175,190,263,5021
14025,"Mobile County, AL, USA","Alabama, USA","United States","30.445380925465, -88.114573359489","Watercraft (powerboat, sailboat, kayak or canoe)",2016-10-15,"Fowl River",34,0,34,585,5,39,140,263,40,64,90,42,45,39,29,244,177,217,105,44,19,24,39,89,0,0,0,4,0,6,20,10,5,81,0,0,1,11,12,37,7,8,0,0,0,1,1,2,0,426,125,161,2628
14122,"Baldwin County, AL, USA","Alabama, USA","United States","30.679339450493, -87.992703840137","Watercraft (powerboat, sailboat, kayak or canoe)",2016-09-17,"Mobile Bay Causeway",80,0,80,1000,3,40,1463,619,203,130,223,191,205,140,84,807,396,786,235,182,69,47,166,317,175,65,28,64,0,42,72,21,14,186,0,0,1,100,15,75,7,21,0,0,17,25,4,2,0,511,301,403,8412
14133,"Conecuh County, AL, USA","Alabama, USA","United States","31.301338734835, -86.716703251004","Watercraft (powerboat, sailboat, kayak or canoe)",2016-09-17,"Bull Slough Landing, Sepulga River",6,0,6,57,0.25,4,44,22,4,0,8,15,6,2,3,25,22,44,14,1,5,2,4,4,0,0,1,1,0,0,7,1,0,13,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,37,22,11,322
14134,"Conecuh County, AL, USA","Alabama, USA","United States","31.262181997978, -86.761774420738","Watercraft (powerboat, sailboat, kayak or canoe)",2016-09-17,"Brooklyn Landing, Sepulga River & Bottle Creek",10,0,10,55,0.25,8,43,111,44,21,21,28,15,6,0,53,43,72,22,3,8,2,9,11,2,0,1,0,0,1,0,0,7,10,0,0,0,1,1,0,0,1,0,0,0,6,0,1,0,77,17,31,668
14136,"Montgomery County, AL, USA","Alabama, USA","United States","32.339728226626, -86.21386885643","Land (beach, shoreline and inland)",2016-09-17,"Ida Bell Young Park, White Slough Branch",9,19,28,60,1,5,0,61,9,2,0,0,5,2,3,24,0,9,19,44,24,33,12,12,0,0,0,0,0,0,0,0,2,2,0,0,6,1,3,1,0,4,0,0,0,0,0,0,0,6,0,26,310
14138,"Escambia County, AL, USA","Alabama, USA","United States","31.10286409312, -87.07668453455","Land (beach, shoreline and inland)",2016-09-17,"Jennings Park, Burnt Corn Creek Brewton",34,9,43,130,2,8,65,75,12,38,31,14,5,8,20,63,26,37,4,13,4,7,1,24,0,0,0,0,0,0,11,3,8,4,0,1,0,0,8,14,7,2,0,0,0,1,0,2,0,9,48,74,639
14139,"Escambia County, AL, USA","Alabama, USA","United States","31.100597304068, -87.067766189575","Watercraft (powerboat, sailboat, kayak or canoe)",2016-09-17,"Murder Creek, Brewton",15,1,16,205,8,51,26,18,0,13,14,15,0,0,1,175,32,176,3,0,0,1,0,18,3,2,14,6,0,7,0,20,0,3,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,553
14157,"Mobile County, AL, USA","Alabama, USA","United States","30.7070101301, -88.152590990067","Land (beach, shoreline and inland)",2016-09-17,"Three Mile Creek Municipal Park",180,88,268,5000,2,0,900,816,112,71,342,260,143,204,34,228,100,120,41,168,46,40,52,137,1,21,5,20,0,8,83,41,11,78,0,0,43,137,9,57,1,1,0,0,7,0,1,1,0,328,654,1198,6519
