"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
7933,"Kenai Peninsula Borough, AK, USA","Alaska, USA","United States","59.638946699244, -151.47880554199","Land (beach, shoreline and inland)",2016-10-01,"CACS Coast Walk",2,0,2,150,4,4,2,7,0,0,0,0,1,0,0,4,2,16,4,1,0,2,0,0,5,1,4,1,0,0,5,0,1,0,0,0,0,0,0,9,1,5,0,0,0,0,0,0,0,11,0,7,89
7979,"Kenai Peninsula Borough, AK, USA","Alaska, USA","United States","59.79925267314, -151.84478759766","Land (beach, shoreline and inland)",2016-10-08,"CACS Coast Walk",3,0,3,15,1,1,4,2,0,0,0,0,5,0,0,3,2,7,0,0,0,0,0,0,1,1,1,1,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,42
7980,"Kenai Peninsula Borough, AK, USA","Alaska, USA","United States","59.664966343958, -151.69200897217","Land (beach, shoreline and inland)",2016-09-18,"CACS Coast Walk",1,0,1,7,2,1,0,0,0,0,1,0,0,0,0,13,0,2,0,0,0,0,2,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,44
7982,"Kenai Peninsula Borough, AK, USA","Alaska, USA","United States","59.675455223183, -151.40310287476","Land (beach, shoreline and inland)",2016-09-09,"CACS Coast Walk",4,0,4,60,2.5,6,0,3,2,0,2,3,2,0,0,2,6,33,8,5,0,0,1,0,1,0,45,0,0,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,14,21,169
7984,"Kenai Peninsula Borough, AK, USA","Alaska, USA","United States","59.680048492087, -151.38679504395","Land (beach, shoreline and inland)",2016-09-09,"CACS Coast Walk",1,0,1,30,1.6,3,0,3,0,0,0,2,1,0,0,0,0,16,3,2,0,0,0,0,1,0,25,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,6,15,87
7985,"Kenai Peninsula Borough, AK, USA","Alaska, USA","United States","59.680048492087, -151.38679504395","Land (beach, shoreline and inland)",2016-09-13,"CACS Coast Walk",4,0,4,30,0.9,3,0,0,2,0,2,1,1,0,0,2,6,17,5,3,0,0,1,0,0,0,0,20,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,82
7987,"Kenai Peninsula Borough, AK, USA","Alaska, USA","United States","59.805124026366, -151.06922149658","Land (beach, shoreline and inland)",2016-10-12,"CACS Coast Walk",2,0,2,15,0.5,2,0,16,2,0,4,27,3,2,2,3,30,84,10,1,0,0,7,0,0,0,0,1,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,205
8045,"Kenai Peninsula Borough, AK, USA","Alaska, USA","United States","59.70932660706, -151.27555847168","Land (beach, shoreline and inland)",2016-09-15,"CACS Coast Walk",2,0,2,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8046,"Kenai Peninsula Borough, AK, USA","Alaska, USA","United States","59.638599634294, -151.20414733887","Land (beach, shoreline and inland)",2016-09-23,"CACS Coast Walk",13,0,13,40,1,4,5,23,0,1,7,1,0,4,1,6,1,5,3,3,0,1,1,0,1,0,0,6,0,0,15,3,1,0,0,0,0,0,0,69,0,0,0,0,0,0,0,1,0,622,7,52,839
8048,"Kenai Peninsula Borough, AK, USA","Alaska, USA","United States","59.465663719702, -151.53099060059","Watercraft (powerboat, sailboat, kayak or canoe)",2016-09-28,"CACS Coast Walk",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
