"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
908,"Kent County, DE, USA","Delaware, USA","United States","39.06006, -75.3964","Land (beach, shoreline and inland)",2015-09-19,,1,0,1,1.9,14.5116,0,20,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,28
5858,"New Castle County, DE, USA","Delaware, USA","United States","39.76651, -75.64634","Land (beach, shoreline and inland)",2016-09-28,,1,0,1,0.63,0.0061,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
5957,"New Castle County, DE, USA","Delaware, USA","United States","39.656635371471, -75.568631887436","Land (beach, shoreline and inland)",2016-09-16,"Battery Park",71,0,71,300,2,80,621,154,28,2,520,48,77,105,52,245,33,31,30,52,55,40,61,18,0,6,15,6,0,9,100,14,14,13,0,0,2,40,31,9,7,1,0,0,0,0,0,22,0,179,12,565,3217
5959,"New Castle County, DE, USA","Delaware, USA","United States","39.763799290504, -75.485204458237","Land (beach, shoreline and inland)",2016-09-17,"Fox Point State Park",57,6,63,300,2.5,14,105,89,19,0,195,4,18,75,8,274,9,42,36,43,7,21,18,7,3,3,2,3,0,2,7,3,3,10,0,0,0,18,7,13,3,0,0,0,2,0,1,1,0,83,27,80,1241
5960,"Sussex County, DE, USA","Delaware, USA","United States","38.59127176497, -75.130176544189","Land (beach, shoreline and inland)",2016-09-17,"Holts Landing State Park",13,2,15,146,2,11,186,77,121,29,42,17,26,12,11,94,89,145,33,24,10,10,9,11,1,0,13,25,0,0,0,14,10,14,0,0,1,13,0,0,2,0,0,0,1,0,0,0,0,10,11,43,1104
5961,"Sussex County, DE, USA","Delaware, USA","United States","38.787637526712, -75.088119506836","Land (beach, shoreline and inland)",2016-09-17,"Cape Henlopen State Park - Main Beach",12,49,61,50,1,8,202,35,2,0,103,10,12,32,5,19,1,13,2,17,9,15,12,1,0,6,1,20,0,1,33,7,8,5,0,1,3,6,2,8,10,0,0,0,2,2,0,0,0,13,1,128,747
5962,"Sussex County, DE, USA","Delaware, USA","United States","38.786433769908, -75.101637840271","Land (beach, shoreline and inland)",2016-09-17,"Cape Henlopen State Park - Fishing Pier",37,20,57,205,3,10,391,92,9,3,121,15,13,28,4,22,6,6,13,31,5,7,11,6,4,10,13,30,0,0,21,0,19,10,0,1,10,8,1,44,1,0,0,0,0,1,1,1,0,36,32,370,1396
5964,"Sussex County, DE, USA","Delaware, USA","United States","38.763744907237, -75.082068443298","Land (beach, shoreline and inland)",2016-09-17,"Cape Henlopen State Park - Herring Point",39,6,45,125,1,14,1279,253,19,2,442,9,17,98,11,58,1,25,15,56,24,21,15,7,10,15,21,6,0,0,58,1,12,32,0,0,16,40,0,11,9,2,0,0,6,2,2,6,0,72,5,361,3039
5965,"Sussex County, DE, USA","Delaware, USA","United States","38.803109775265, -75.09635925293","Land (beach, shoreline and inland)",2016-09-17,"Cape Henlopen State Park - The Point",35,3,38,75,2,10,38,10,1,0,44,5,10,12,1,30,3,1,15,21,2,4,4,4,2,4,4,6,0,2,21,0,7,0,0,0,18,4,2,4,0,0,0,0,0,0,0,0,0,5,2,87,373
5967,"Sussex County, DE, USA","Delaware, USA","United States","38.749579132021, -75.086488723755","Land (beach, shoreline and inland)",2016-09-17,"Cape Henlopen State Park - Gordon's Pond",33,3,36,50,3,16,1009,415,4,0,541,9,23,47,10,23,1,9,20,28,5,15,11,1,0,47,37,19,0,1,15,9,2,3,0,1,31,40,0,36,6,0,0,0,3,1,3,11,0,14,1,579,3030
