State,2018 Population,2017 Population,2016 Population,2015 Population,2014 Population 
Alabama,4887871,4874747,4863300,4858979,4849377
Connecticut,3572665,3588184,3576452,3590886,3596677
Delaware,967171,961939,952065,945934,935614
Florida,21299325,20984400,20612439,20271272,19893297
Georgia,10519475,10429379,10310371,10214860,10097343
Louisiana,4659978,4684333,4681666,4670724,4649676
Maine,1338404,1335907,1331479,1329328,1330089
Maryland,6042718,6052177,6016447,6006401,5976407
Massachusetts,6902149,6859819,6811779,6794422,6745408
Mississippi,2986530,2984100,2988726,2992333,2994079
New Hampshire,1356458,1342795,1334795,1330608,1326813
New Jersey,8908520,9005644,8944469,8958013,8938175
New York,19542209,19849399,19745289,19795791,19746227
North Carolina,10383620,10273419,10146788,10042802,9943964
Rhode Island,1057315,1059639,1056426,1056298,1055173
South Carolina,5084127,5024369,4961119,4896146,4832482
Texas,28701845,28304596,27862596,27469114,26956958
Virginia,8517685,8470020,8411808,8382993,8326289
,,,,,
Total Population ,146728065,146084866,144608014,143606904,142194048
,,,,,
,52685584,,,,
