"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
125,"Pinellas County, FL, USA","Florida, USA","United States","27.77062, -82.63568","Land (beach, shoreline and inland)",2015-03-25,,1,0,1,0.15,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
126,"Pinellas County, FL, USA","Florida, USA","United States","27.77, -82.64976","Land (beach, shoreline and inland)",2015-03-26,,1,0,1,1.86,0.0126,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9
129,"Hillsborough County, FL, USA","Florida, USA","United States","27.9795, -82.53612","Land (beach, shoreline and inland)",2015-03-26,,1,0,1,0.56,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
134,"Hillsborough County, FL, USA","Florida, USA","United States","27.9795, -82.53612","Land (beach, shoreline and inland)",2015-03-26,,1,0,1,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
135,"Hillsborough County, FL, USA","Florida, USA","United States","27.9795, -82.53612","Land (beach, shoreline and inland)",2015-03-26,,1,0,1,0.09,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
137,"Hillsborough County, FL, USA","Florida, USA","United States","27.9795, -82.53612","Land (beach, shoreline and inland)",2015-03-26,,1,0,1,0.15,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
139,"Hillsborough County, FL, USA","Florida, USA","United States","27.9795, -82.53612","Land (beach, shoreline and inland)",2015-03-26,,1,0,1,0.26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5
141,"Hillsborough County, FL, USA","Florida, USA","United States","27.9795, -82.53612","Land (beach, shoreline and inland)",2015-03-26,,1,0,1,0.56,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
166,"St Johns County, FL, USA","Florida, USA","United States","29.91794, -81.29191","Land (beach, shoreline and inland)",2015-04-29,,1,0,1,0.25,0.0474,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
167,"St Johns County, FL, USA","Florida, USA","United States","29.91797, -81.29188","Land (beach, shoreline and inland)",2015-04-29,,1,0,1,0.3,0.1172,0,1,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
