"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
130,"Henry County, GA, USA","Georgia, USA","United States","33.45957, -84.18034","Land (beach, shoreline and inland)",2015-03-26,,1,0,1,0.9,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10
136,"Dekalb County, GA, USA","Georgia, USA","United States","33.7703, -84.25682","Land (beach, shoreline and inland)",2015-03-26,,1,0,1,0.62,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
138,"Henry County, GA, USA","Georgia, USA","United States","33.45957, -84.18034","Land (beach, shoreline and inland)",2015-03-26,,1,0,1,0.9,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10
1894,"Bryan County, GA, USA","Georgia, USA","United States","31.93413, -81.31127","Land (beach, shoreline and inland)",2016-04-17,,6,0,6,3.03,0.0113,0,0,6,0,0,0,0,0,0,0,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,26
1901,"Chatham County, GA, USA","Georgia, USA","United States","31.99712, -81.02959","Land (beach, shoreline and inland)",2016-04-16,,6,0,6,0.55,3.5659,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11
3205,"Gwinnett County, GA, USA","Georgia, USA","United States","33.92634, -84.07877","Land (beach, shoreline and inland)",2016-09-03,,1,0,1,0,0.0084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3206,"Gwinnett County, GA, USA","Georgia, USA","United States","33.92641, -84.07863","Land (beach, shoreline and inland)",2016-09-03,,1,0,1,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3207,"Gwinnett County, GA, USA","Georgia, USA","United States","33.9264, -84.07852","Land (beach, shoreline and inland)",2016-09-03,,1,0,1,4.4,0,0,2,2,2,2,2,0,5,2,2,2,2,2,5,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,3,0,0,0,0,2,0,0,2,47
3722,"Glynn County, GA, USA","Georgia, USA","United States","31.14806, -81.38841","Land (beach, shoreline and inland)",2016-09-07,,1,0,1,0.65,0.0195,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3
14206,"Glynn County, GA, USA","Georgia, USA","United States","31.25451, -81.46717","Land (beach, shoreline and inland)",2016-12-18,,1,0,1,0.78,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
