"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
820,"Maui County, HI, USA","Hawaii, USA","United States","20.86309, -156.44844","Land (beach, shoreline and inland)",2015-09-04,,1,0,1,0.05,0.1155,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
855,"Maui County, HI, USA","Hawaii, USA","United States","20.89133, -156.4735","Land (beach, shoreline and inland)",2015-09-19,,1,0,1,10.79,1.1922,0,113,16,17,5,11,0,0,4,5,2,2,2,3,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,6,0,0,74,285
926,"Maui County, HI, USA","Hawaii, USA","United States","20.89127, -156.47229","Land (beach, shoreline and inland)",2015-09-19,,3,0,3,13.86,0.0445,0,122,6,2,5,11,0,2,6,8,1,2,1,4,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,125,328
1229,"Maui County, HI, USA","Hawaii, USA","United States","20.65289, -156.44115","Land (beach, shoreline and inland)",2015-11-12,,1,0,1,0.26,0.4403,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
1250,"Maui County, HI, USA","Hawaii, USA","United States","20.65264, -156.44163","Land (beach, shoreline and inland)",2015-12-01,,1,0,1,0.66,0.172,0,16,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21
1252,"Kauai County, HI, USA","Hawaii, USA","United States","21.97345, -159.36079","Land (beach, shoreline and inland)",2015-12-02,,1,0,1,40.13,0.0495,0,0,12,0,1,83,0,0,0,0,83,63,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346
1309,"Maui County, HI, USA","Hawaii, USA","United States","20.65284, -156.4406","Land (beach, shoreline and inland)",2015-12-21,,1,0,1,0.89,0,0,5,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,14
1314,"Maui County, HI, USA","Hawaii, USA","United States","20.6528, -156.44063","Land (beach, shoreline and inland)",2015-12-23,,1,0,1,0.69,0.0046,0,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
1405,"Maui County, HI, USA","Hawaii, USA","United States","20.76387, -156.4588","Land (beach, shoreline and inland)",2016-01-28,,1,0,1,2.89,0.3974,0,3,4,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,0,0,33
1406,"Maui County, HI, USA","Hawaii, USA","United States","20.76408, -156.45847","Land (beach, shoreline and inland)",2016-01-28,,1,0,1,1.58,0.171,0,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,8,26
