"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
1913,"Orleans Parish, LA, USA","Louisiana, USA","United States","30.02584, -90.08472","Land (beach, shoreline and inland)",2016-04-25,,1,0,1,3.3,0.2472,0,0,26,0,0,33,0,1,66,0,6,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,154
2874,"Orleans Parish, LA, USA","Louisiana, USA","United States","30.02527, -90.08313","Land (beach, shoreline and inland)",2016-07-15,,7,0,7,5.39,0.0111,0,0,6,5,0,20,0,6,20,0,5,2,4,6,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,4,102
2879,"Orleans Parish, LA, USA","Louisiana, USA","United States","30.02533, -90.08311","Land (beach, shoreline and inland)",2016-07-15,,1,0,1,1.29,0.0448,0,0,5,0,3,7,0,6,11,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,63
3784,"St Charles Parish, LA, USA","Louisiana, USA","United States","30.01682, -90.40906","Land (beach, shoreline and inland)",2016-09-10,,1,0,1,21.92,18.2839,0,5,26,23,7,46,0,7,0,0,15,7,10,9,0,0,0,2,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,36,229
3785,"St Charles Parish, LA, USA","Louisiana, USA","United States","30.05564, -90.36963","Land (beach, shoreline and inland)",2016-09-10,"Eat More Waffle ",2,0,2,3.53,0.6331,0,1,8,0,0,0,0,0,1,0,10,4,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,9,47
3786,"St Charles Parish, LA, USA","Louisiana, USA","United States","30.05614, -90.36944","Land (beach, shoreline and inland)",2016-09-10,,1,0,1,7.36,0.4938,0,5,4,0,1,8,0,0,0,0,7,10,4,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,51
3787,"St Charles Parish, LA, USA","Louisiana, USA","United States","30.05614, -90.36939","Land (beach, shoreline and inland)",2016-09-10,Z,1,0,1,3.83,1.0168,0,1,15,1,1,0,0,0,0,1,20,2,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,71
3788,"St Charles Parish, LA, USA","Louisiana, USA","United States","30.05611, -90.36946","Land (beach, shoreline and inland)",2016-09-10,"Gavin  and Patrick ",2,0,2,3.39,0.0014,0,1,2,1,0,2,0,1,2,2,7,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,32
3789,"St Charles Parish, LA, USA","Louisiana, USA","United States","30.05647, -90.36946","Land (beach, shoreline and inland)",2016-09-10,"Wetland watchers park",1,0,1,21.29,0.7221,0,17,6,1,0,14,0,0,0,0,3,29,6,2,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,25,131
3790,"St Charles Parish, LA, USA","Louisiana, USA","United States","30.05613, -90.3694","Land (beach, shoreline and inland)",2016-09-10,"Namastay ",9,0,9,33.76,1.0262,0,0,10,20,13,6,0,4,3,6,43,42,30,20,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,2,17,0,0,0,0,2,0,0,52,288
