"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
2653,"Hancock County, ME, USA","Maine, USA","United States","44.45079, -68.47371","Land (beach, shoreline and inland)",2016-06-26,,1,0,1,8.71,5.7884,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,7,40
2680,"Hancock County, ME, USA","Maine, USA","United States","44.45079, -68.47371","Land (beach, shoreline and inland)",2016-06-26,,1,0,1,8.71,5.7884,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,7,40
4259,"Hancock County, ME, USA","Maine, USA","United States","44.453266264778, -68.301486968994","Land (beach, shoreline and inland)",2016-09-17,"Just Me",1,0,1,30,0.9,2,3,9,0,3,4,0,5,0,0,32,1,6,0,0,0,0,0,0,0,1,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,19,102
5168,"Lincoln County, ME, USA","Maine, USA","United States","43.90714, -69.59231","Land (beach, shoreline and inland)",2016-09-17,,3,0,3,2.63,0.0463,0,100,3,0,2,0,0,2,20,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,7,154
5742,"Hancock County, ME, USA","Maine, USA","United States","44.453204996919, -68.478384017944","Land (beach, shoreline and inland)",2016-09-17,MERI,20,6,26,110,0.75,6,4,91,6,21,88,1,23,12,1,66,13,3,3,48,5,2,7,10,31,32,1,103,0,3,73,10,49,7,0,0,4,5,8,7,0,0,4,0,0,0,1,3,0,483,6,726,1960
7639,"Hancock County, ME, USA","Maine, USA","United States","44.45079, -68.47371","Land (beach, shoreline and inland)",2016-06-26,,1,0,1,8.71,5.7884,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,7,40
12925,"Sagadahoc County, ME, USA","Maine, USA","United States","43.73667, -69.79759","Land (beach, shoreline and inland)",2016-11-27,,2,0,2,0.74,0.5464,0,0,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,13
14892,"Washington County, ME, USA","Maine, USA","United States","44.889699504332, -67.036904543638","Land (beach, shoreline and inland)",2016-09-17,"Seward Neck, Lubec",4,0,4,117,0.75,3,0,2,5,1,20,0,2,0,0,31,4,9,0,22,0,0,1,6,2,0,0,73,0,1,12,6,18,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,17,10,28,276
14893,"Washington County, ME, USA","Maine, USA","United States","44.844339627638, -66.996845752001","Land (beach, shoreline and inland)",2016-09-17,"Diamond Point Beach, Lubec",3,0,3,45,0.25,3,0,2,1,0,5,1,7,0,0,9,0,2,7,2,0,0,0,0,0,2,1,45,0,0,2,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,3,18,136
14894,"Washington County, ME, USA","Maine, USA","United States","44.805445148984, -66.981068998575","Land (beach, shoreline and inland)",2016-09-17,"Carrying Place Cove, Lubec",7,0,7,220,1,12,1,6,5,3,32,2,8,3,4,66,2,18,0,10,1,2,3,5,10,6,1,84,0,0,43,19,64,0,0,0,3,0,0,5,4,0,0,0,0,0,0,4,0,114,7,48,583
