"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
183,"Montgomery County, MD, USA","Maryland, USA","United States","38.99221, -77.03262","Land (beach, shoreline and inland)",2015-05-06,,1,0,1,0.55,1.2786,0,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
585,"Cecil County, MD, USA","Maryland, USA","United States","39.5453, -76.06854","Land (beach, shoreline and inland)",2015-07-24,,1,0,1,0.13,0.1975,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
601,"Harford County, MD, USA","Maryland, USA","United States","39.55174, -76.09092","Land (beach, shoreline and inland)",2015-07-25,,1,0,1,1.42,3.7983,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
628,"Montgomery County, MD, USA","Maryland, USA","United States","38.9713, -77.00604","Land (beach, shoreline and inland)",2015-08-04,,1,0,1,0,0.0344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,"Montgomery County, MD, USA","Maryland, USA","United States","38.99657, -77.03412","Land (beach, shoreline and inland)",2015-08-03,,1,0,1,0.51,1.2935,0,39,2,0,0,0,0,0,3,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,52
1481,"Charles County, MD, USA","Maryland, USA","United States","38.56349, -76.97998","Land (beach, shoreline and inland)",2016-02-09,,1,0,1,0.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1902,"Anne Arundel County, MD, USA","Maryland, USA","United States","38.72692, -76.53643","Land (beach, shoreline and inland)",2016-04-17,,3,0,3,1.12,0.265,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,14
2586,"Howard County, MD, USA","Maryland, USA","United States","39.26834, -76.82553","Land (beach, shoreline and inland)",2016-06-16,,1,0,1,0.19,0.0165,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
3153,"Baltimore County, MD, USA","Maryland, USA","United States","39.4214, -76.6135","Land (beach, shoreline and inland)",2016-08-28,,1,0,1,0.24,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3161,"Worcester County, MD, USA","Maryland, USA","United States","38.38966, -75.06321","Land (beach, shoreline and inland)",2016-08-29,BAML,1,0,1,1.85,0.0428,0,27,3,1,0,0,0,0,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4,46
3209,"Worcester County, MD, USA","Maryland, USA","United States","38.38986, -75.06317","Land (beach, shoreline and inland)",2016-09-04,BAML,1,0,1,0.21,0,0,0,0,0,0,0,0,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3662,"Anne Arundel County, MD, USA","Maryland, USA","United States","38.97697, -76.4966","Land (beach, shoreline and inland)",2016-08-03,,1,0,1,10.19,0.0287,0,18,39,5,0,21,0,0,12,6,16,6,7,5,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,4,3,0,0,0,0,2,0,0,8,159
3793,"Anne Arundel County, MD, USA","Maryland, USA","United States","38.99871, -76.48161","Land (beach, shoreline and inland)",2016-09-10,"Joanas Green Park Annapolis",1,0,1,40.48,7.4339,0,52,26,12,6,53,0,20,20,4,15,2,20,31,0,0,0,17,0,0,0,0,0,48,0,0,0,0,0,12,0,3,0,0,0,0,0,8,27,0,0,0,0,5,0,0,34,415
3803,"Anne Arundel County, MD, USA","Maryland, USA","United States","38.9771, -76.49689","Land (beach, shoreline and inland)",2016-09-10,"Jonas Green Park Annapolis ",1,0,1,3.98,0.0102,0,15,4,0,0,4,0,3,1,0,10,4,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,53
3843,"Baltimore County, MD, USA","Maryland, USA","United States","39.281884, -76.502503","Land (beach, shoreline and inland)",2016-09-10,"Clean Bread and Cheese Creek",1,0,1,4215,3,214,876,669,25,36,256,89,78,115,26,169,98,79,189,69,5,8,12,87,0,0,0,0,0,14,7,13,2,77,0,1,3,14,4,2,0,4,6,0,0,2,0,3,0,123,233,118,3512
3844,"Howard County, MD, USA","Maryland, USA","United States","39.151188790956, -76.788232326508","Land (beach, shoreline and inland)",2016-09-10,"Howard County Recreation & Parks",14,0,14,1.57,0.5,14,0,0,0,0,0,0,0,0,0,189,17,7,0,0,0,0,0,0,0,0,0,0,0,1,39,3,0,0,0,0,0,0,0,4,0,34,0,0,0,0,0,0,0,0,0,0,294
3910,"Worcester County, MD, USA","Maryland, USA","United States","38.33675, -75.0853","Land (beach, shoreline and inland)",2016-09-15,,1,0,1,10.03,0.2478,0,32,5,0,0,7,0,5,4,2,5,1,4,6,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0,0,0,3,14,0,0,0,0,1,0,0,42,144
4426,"Baltimore, MD, USA","Maryland, USA","United States","39.27154, -76.64838","Land (beach, shoreline and inland)",2016-09-17,"Blue Water Baltimore- Rachel",2,0,2,10.91,0.2128,0,2,70,0,11,8,0,6,17,18,7,0,3,228,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,11,414
4432,"Queen Anne's County, MD, USA","Maryland, USA","United States","38.97133, -76.24851","Land (beach, shoreline and inland)",2016-09-17,,1,0,1,0.87,0.2443,0,13,3,0,0,2,0,1,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33
4464,"Baltimore, MD, USA","Maryland, USA","United States","39.26939, -76.64731","Land (beach, shoreline and inland)",2016-09-17,"Blue water baltimore",1,0,1,11.96,0.8908,0,3,82,11,0,6,0,8,22,11,21,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,42,0,0,0,0,0,0,0,6,342
4484,"Baltimore, MD, USA","Maryland, USA","United States","39.27178, -76.64803","Land (beach, shoreline and inland)",2016-09-17,"Blue Water Baltimore",1,0,1,9.83,0.1397,0,0,10,10,11,12,0,0,0,0,22,6,10,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,11,126
4514,"Baltimore County, MD, USA","Maryland, USA","United States","39.24927, -76.40249","Land (beach, shoreline and inland)",2016-09-17,Naimans,4,0,4,50.81,0.6017,0,16,67,13,4,45,0,10,13,7,31,24,28,18,0,0,0,12,0,0,0,0,0,29,0,0,0,0,0,24,0,23,0,0,0,0,0,1,96,0,0,0,0,24,0,0,138,623
4620,"Worcester County, MD, USA","Maryland, USA","United States","38.04137, -75.36159","Land (beach, shoreline and inland)",2016-09-17,,6,0,6,75,8.4009,0,6,15,3,0,8,0,3,2,0,13,10,21,14,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,20,0,0,0,0,14,0,0,1,142
4649,"Queen Anne's County, MD, USA","Maryland, USA","United States","38.99275, -76.32651","Land (beach, shoreline and inland)",2016-09-17,"Kent island beach cleanups",1,0,1,5.92,0.3462,0,44,8,4,0,11,0,6,7,6,10,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,12,0,0,0,0,0,0,0,72,194
5265,"Worcester County, MD, USA","Maryland, USA","United States","38.20051, -75.15267","Land (beach, shoreline and inland)",2016-09-18,"Assateague 9-18",6,0,6,4.63,0.0478,0,31,13,0,0,5,0,3,4,1,0,0,3,12,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,0,0,0,0,1,0,0,16,110
5381,"Frederick County, MD, USA","Maryland, USA","United States","39.39188, -77.56467","Land (beach, shoreline and inland)",2016-09-17,"Catoctin Creek Nature Center",2,0,2,25.38,0.0348,0,0,11,1,0,3,0,0,8,7,9,32,11,8,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,31,171
5411,"Worcester County, MD, USA","Maryland, USA","United States","38.0764591, -75.3645238","Land (beach, shoreline and inland)",2016-09-17,"Taylor Landing",6,0,6,305,1,10,6,49,4,1,7,0,26,7,0,52,12,50,23,20,24,45,12,6,3,7,2,3,0,0,1,3,0,5,0,8,1,5,2,9,0,0,0,0,0,0,0,1,0,2,0,1,397
5412,"Worcester County, MD, USA","Maryland, USA","United States","38.0764591, -75.3645238","Land (beach, shoreline and inland)",2016-09-17,"Taylor Landing",6,0,6,305,1,10,6,49,4,1,7,0,26,7,0,52,12,50,23,20,24,45,12,6,3,7,2,3,0,0,1,3,0,5,0,8,1,5,2,9,0,0,0,0,0,0,0,1,0,2,0,1,397
5413,"Worcester County, MD, USA","Maryland, USA","United States","38.0412873, -75.3613374","Land (beach, shoreline and inland)",2016-09-17,"Trudy, Colby, & Kim",3,0,3,50,1,2,7,12,0,0,2,1,3,0,0,23,31,26,16,1,0,4,3,5,0,3,3,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,170
5414,"Worcester County, MD, USA","Maryland, USA","United States","38.0992376, -75.337927","Land (beach, shoreline and inland)",2016-09-17,Kim,1,0,1,20,1,0,0,1,0,0,0,0,1,0,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,21
5415,"Worcester County, MD, USA","Maryland, USA","United States","38.0992376, -75.337927","Land (beach, shoreline and inland)",2016-09-17,Kim,1,0,1,20,1,0,0,1,0,0,0,0,1,0,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,21
5421,"Anne Arundel County, MD, USA","Maryland, USA","United States","39.0457549, -76.6412712","Land (beach, shoreline and inland)",2016-09-17,"Friends of the Bohemia",17,0,17,140,1,22,214,94,19,22,49,9,24,17,4,58,35,48,17,24,11,10,9,6,0,0,80,0,0,0,6,3,3,14,0,0,1,31,3,2,0,0,0,0,0,2,0,1,0,125,116,109,1166
5423,"Somerset County, MD, USA","Maryland, USA","United States","38.0104361, -75.8418649","Land (beach, shoreline and inland)",2016-09-17,"Janes Island Volunteers",26,30,56,860,10,0,0,73,37,30,65,2,26,8,0,264,55,163,27,65,12,5,26,49,36,3,0,30,0,0,29,57,2,0,0,0,25,0,5,0,5,1,0,0,5,0,0,1,0,140,78,59,1383
