"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
169,"Essex County, MA, USA","Massachusetts, USA","United States","42.79918, -70.85402","Land (beach, shoreline and inland)",2015-05-01,,2,0,2,3.11,4.4531,0,0,8,2,4,1,0,9,0,0,16,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,7,57
170,"Essex County, MA, USA","Massachusetts, USA","United States","42.79618, -70.83725","Land (beach, shoreline and inland)",2015-05-01,,2,0,2,1.6,8.7327,0,0,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,22,38
831,"Suffolk County, MA, USA","Massachusetts, USA","United States","42.3296, -71.04069","Land (beach, shoreline and inland)",2015-09-09,,1,0,1,2.52,0.7541,0,24,18,2,1,3,0,1,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,3,73
832,"Suffolk County, MA, USA","Massachusetts, USA","United States","42.32662, -71.04804","Land (beach, shoreline and inland)",2015-09-09,,1,0,1,9.73,0.8964,0,3,12,3,0,4,0,5,8,1,6,11,3,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,7,0,0,0,0,4,0,0,7,98
1354,"Essex County, MA, USA","Massachusetts, USA","United States","42.68554, -70.76459","Land (beach, shoreline and inland)",2015-12-25,,2,0,2,85.2,3.6815,0,8,41,14,0,6,0,14,1,3,12,3,26,2,0,0,1,0,0,0,0,0,0,125,0,0,0,0,0,2,0,5,0,0,0,0,0,7,46,0,0,0,0,9,0,0,292,617
1365,"Essex County, MA, USA","Massachusetts, USA","United States","42.68579, -70.76547","Land (beach, shoreline and inland)",2016-01-01,,2,0,2,19.24,0.817,0,10,15,1,1,11,0,5,5,1,5,1,3,5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,1,0,0,0,0,0,4,20,0,0,0,0,6,0,0,199,315
1369,"Essex County, MA, USA","Massachusetts, USA","United States","42.72718, -71.18841","Land (beach, shoreline and inland)",2016-01-06,,1,0,1,0.63,0.2696,0,2,2,1,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14
1372,"Essex County, MA, USA","Massachusetts, USA","United States","42.72729, -71.18769","Land (beach, shoreline and inland)",2016-01-08,,1,0,1,1.32,0.2471,0,6,2,0,0,0,0,0,0,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,24
1376,"Essex County, MA, USA","Massachusetts, USA","United States","42.68477, -70.76591","Land (beach, shoreline and inland)",2016-01-09,,2,0,2,59.55,1.7637,0,5,30,4,2,6,0,2,2,1,23,2,22,28,0,0,5,0,0,0,0,0,0,82,0,0,0,0,0,3,0,6,0,0,0,0,0,4,56,0,0,0,0,3,0,0,143,429
1379,"Essex County, MA, USA","Massachusetts, USA","United States","42.72708, -71.18794","Land (beach, shoreline and inland)",2016-01-11,,1,0,1,0.58,0.2138,0,0,2,0,0,0,0,3,1,0,6,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
1381,"Essex County, MA, USA","Massachusetts, USA","United States","42.72709, -71.18791","Land (beach, shoreline and inland)",2016-01-12,,1,0,1,1.06,0.3049,0,0,1,0,0,2,0,1,2,0,5,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19
1391,"Essex County, MA, USA","Massachusetts, USA","United States","42.68614, -70.7658","Land (beach, shoreline and inland)",2016-01-17,,2,0,2,62.67,1.478,0,1,20,4,0,13,0,0,2,1,4,2,14,9,0,0,2,0,0,0,0,0,0,99,0,0,0,0,0,0,0,9,0,0,0,0,0,1,39,0,0,0,0,4,0,0,107,331
1399,"Plymouth County, MA, USA","Massachusetts, USA","United States","42.2733, -70.86025","Land (beach, shoreline and inland)",2016-01-22,,1,0,1,1.71,0.0397,0,27,10,0,0,3,0,3,5,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,3,61
1401,"Essex County, MA, USA","Massachusetts, USA","United States","42.72157, -71.19554","Land (beach, shoreline and inland)",2016-01-24,,2,0,2,11.85,0.0612,0,1,19,10,1,2,0,19,6,4,49,4,21,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,32,0,0,0,0,7,0,0,76,272
