"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
15297,"Harrison County, MS, USA","Mississippi, USA","United States","30.401306519204, -88.961791992188","Land (beach, shoreline and inland)",2016-10-22,"Mississippi Coastal Cleanup",1142,10,1152,28079,202,2286,27916,8590,2008,1998,6923,3263,4013,5395,1030,4313,5874,4379,4691,2001,2389,2926,1594,1813,181,291,976,403,0,80,2972,828,316,1489,0,16,411,1868,386,1729,2027,462,22,0,106,85,66,60,0,5104,5559,13017,129570
18468,"Jackson County, MS, USA","Mississippi, USA","United States","30.42116, -88.78902","Land (beach, shoreline and inland)",2017-05-05,"Ship Island MS 05/05/2017",10,0,10,7.86,0.0196,0,0,13,8,5,20,0,9,1,0,22,0,2,3,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,4,11,0,0,0,0,0,0,0,22,131
18654,"Jackson County, MS, USA","Mississippi, USA","United States","30.39675, -88.81312","Land (beach, shoreline and inland)",2017-05-14,"East Beach Ocean Springs Mississippi5/14/17",1,0,1,0.76,0.8129,0,4,4,2,1,1,0,0,0,0,5,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,28
18672,"Jackson County, MS, USA","Mississippi, USA","United States","30.39814, -88.81518","Land (beach, shoreline and inland)",2017-05-15,"East Beach Ocean Springs Mississippi5/15/17",1,0,1,1.48,0.0168,0,17,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,27
18777,"Jackson County, MS, USA","Mississippi, USA","United States","30.39829, -88.81541","Land (beach, shoreline and inland)",2017-05-21,"East Beach Ocean Springs Mississippi5/2117",1,0,1,4.33,0.9379,0,29,20,1,0,1,0,3,3,0,1,3,5,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,43,126
18778,"Jackson County, MS, USA","Mississippi, USA","United States","30.39831, -88.81517","Land (beach, shoreline and inland)",2017-05-21,"East Beach Ocean Springs Mississippi5/2117",1,0,1,0.45,0.0203,0,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,16
18905,"Jackson County, MS, USA","Mississippi, USA","United States","30.40273, -88.8171","Land (beach, shoreline and inland)",2017-05-27,"East Beach Ocean Springs Mississippi5/27/17",1,0,1,0.41,0.4037,0,0,3,0,0,3,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13
18946,"Jackson County, MS, USA","Mississippi, USA","United States","30.3983, -88.81519","Land (beach, shoreline and inland)",2017-05-29,"East Beach Ocean Springs MS",1,0,1,0.7,0,0,7,4,0,1,0,0,0,1,0,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,27
19001,"Jackson County, MS, USA","Mississippi, USA","United States","30.34232, -88.52714","Land (beach, shoreline and inland)",2017-06-01,"Pascagoula Beach June 1,2017 Cleanup",1,0,1,0.73,0.9488,0,0,4,0,0,0,0,0,3,1,6,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20
19031,"Jackson County, MS, USA","Mississippi, USA","United States","30.39233, -88.80003","Land (beach, shoreline and inland)",2017-06-02,"East Beach Ocean Springs MS",1,0,1,4.96,3.4147,0,38,15,1,0,12,0,0,7,2,5,1,3,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,14,0,0,0,0,1,0,0,71,195
