"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
1244,"Rockingham County, NH, USA","New Hampshire, USA","United States","43.0542, -70.76913","Land (beach, shoreline and inland)",2015-11-17,,1,0,1,0.62,0.0314,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7191,"Rockingham County, NH, USA","New Hampshire, USA","United States","43.041171071596, -70.715298056602","Land (beach, shoreline and inland)",2016-10-24,"Odiorne Point Drowned Forest- Souhegan School (Blue Ocean Society)",35,0,35,30,0.25,1,0,5,1,3,3,3,5,2,2,10,1,12,1,0,0,14,2,1,7,15,2,57,0,0,12,0,2,1,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,6,10,73,257
12633,"Strafford County, NH, USA","New Hampshire, USA","United States","43.130461693232, -70.844006538391","Land (beach, shoreline and inland)",2016-09-30,"East Bellamy- Great Bay National Estuarine Research Reserve (GBNERR) (Melissa Brogle)",19,0,19,840,1,20,0,5,4,3,29,1,5,1,2,62,18,42,9,9,1,1,3,1,3,2,2,25,0,0,29,2,1,2,0,0,0,0,3,2,0,8,0,0,0,0,1,0,0,37,3,24,340
12634,"Rockingham County, NH, USA","New Hampshire, USA","United States","42.98570401125, -70.762199163437","Land (beach, shoreline and inland)",2016-10-08,"Jenness Beach- Children's House School (Terrie Colbert)",10,10,20,10,0.25,1,83,18,3,0,17,5,4,10,1,11,1,1,1,3,3,5,2,0,0,2,0,4,0,0,0,1,1,1,0,0,2,6,0,0,1,0,0,0,1,0,0,0,0,31,1,35,254
12635,"Rockingham County, NH, USA","New Hampshire, USA","United States","42.941046106565, -70.792948007584","Land (beach, shoreline and inland)",2016-09-23,"Hampton North Beach - Sant Bani School (Jessica Pine)",24,15,39,20,0.75,1,115,31,3,0,4,2,2,5,2,8,2,10,1,6,5,1,6,7,7,4,7,22,0,0,32,1,10,0,0,0,4,2,0,5,1,0,0,0,1,2,1,0,0,62,2,370,743
12636,"Rockingham County, NH, USA","New Hampshire, USA","United States","43.041653310519, -70.715045928955","Land (beach, shoreline and inland)",2016-09-11,"Ordione Point Drowned Forest- Holy Trinity Church (Rebeca Murillo)",15,6,21,43,0.25,1,35,8,0,0,3,5,7,7,0,2,2,20,3,7,2,2,4,0,55,8,1,25,0,0,8,0,10,0,0,0,1,0,0,12,0,0,1,0,1,0,0,1,0,6,42,64,342
13002,"Rockingham County, NH, USA","New Hampshire, USA","United States","43.065015793069, -70.713093280792","Land (beach, shoreline and inland)",2016-09-29,"New Castle Commons- (Andy Schulte)",2,0,2,9,0.75,1,8,6,0,0,3,0,0,5,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,6,41
13003,"Rockingham County, NH, USA","New Hampshire, USA","United States","42.907594272308, -70.810339450836","Land (beach, shoreline and inland)",2016-09-23,"Hampton Beach- Nottingham Middle School (Michelle Jeannotte)",16,125,141,35,0.5,2,14931,336,12,6,241,71,27,94,17,6,15,7,8,27,28,16,12,25,0,3,0,4,0,1,99,2,10,11,0,2,21,46,1,4,51,0,0,0,0,3,1,0,0,358,31,416,16943
13004,"Rockingham County, NH, USA","New Hampshire, USA","United States","43.076474266819, -70.855121612549","Land (beach, shoreline and inland)",2016-09-24,"Great Bay National Wildlife Refuge- GBNERR/P.R.E.P. (Abby Gronberg Lyon)",38,0,38,900,1,27,5,80,13,5,99,5,17,20,1,90,135,24,14,97,1,1,15,16,28,26,2,121,0,1,162,15,6,6,0,0,17,2,17,45,0,4,0,0,0,0,0,7,0,493,589,392,2571
13140,"Rockingham County, NH, USA","New Hampshire, USA","United States","43.040477111371, -70.715432167053","Land (beach, shoreline and inland)",2016-09-17,"Drowned Forest to Pebble Cove (Rte 1A)- Girl Scouts of the Green and White Mountains (Neil Savage)",51,73,124,375,1,23,1317,159,33,3,55,102,16,32,37,146,144,400,24,22,14,64,29,17,168,255,58,275,0,1,146,1,171,23,0,2,16,15,5,81,11,37,0,0,8,5,1,1,0,116,562,599,5171
