"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
1914,"Ocean County, NJ, USA","New Jersey, USA","United States","39.61764, -74.19998","Land (beach, shoreline and inland)",2016-04-22,,2,0,2,7.71,0.1956,0,2,14,3,5,15,0,8,11,2,3,1,2,20,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,6,0,1,0,0,0,0,0,3,10,0,0,0,0,1,0,0,16,130
1934,"Somerset County, NJ, USA","New Jersey, USA","United States","40.40481, -74.66978","Land (beach, shoreline and inland)",2016-04-04,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3171,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.16445, -74.60273","Land (beach, shoreline and inland)",2016-08-30,Char,1,0,1,1.62,0.0193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3481,"Passaic County, NJ, USA","New Jersey, USA","United States","40.9684, -74.22757","Land (beach, shoreline and inland)",2016-08-12,,1,0,1,0.79,0,0,2,0,0,2,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3858,"Atlantic County, NJ, USA","New Jersey, USA","United States","39.37473, -74.83224","Land (beach, shoreline and inland)",2016-09-13,,1,0,1,2.39,0.0052,0,0,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11
3860,"Atlantic County, NJ, USA","New Jersey, USA","United States","39.37484, -74.83237","Land (beach, shoreline and inland)",2016-09-13,,1,0,1,1.75,0.0536,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
3861,"Atlantic County, NJ, USA","New Jersey, USA","United States","39.37506, -74.83185","Land (beach, shoreline and inland)",2016-09-13,,1,0,1,2.39,0.0782,0,0,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11
3968,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.2386, -74.26526","Land (beach, shoreline and inland)",2016-09-16,,1,0,1,6.78,0.0208,0,19,16,9,6,26,0,3,28,9,10,2,6,10,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,3,5,0,0,0,0,2,0,0,16,192
5294,"Burlington County, NJ, USA","New Jersey, USA","United States","40.06665, -74.74095","Land (beach, shoreline and inland)",2016-09-16,"Hines MyCommunity",20,0,20,7.58,0.014,0,1,1,1,1,1,0,1,17,2,1,1,5,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,4,14,0,0,0,0,1,0,0,3,64
7619,"Atlantic County, NJ, USA","New Jersey, USA","United States","39.372195941907, -74.4135915488","Land (beach, shoreline and inland)",2016-09-17,"Oscar McClinton Park",10,0,10,100,0.5,26,50,10,10,10,0,0,0,0,0,20,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,126
7623,"Atlantic County, NJ, USA","New Jersey, USA","United States","39.38297282895, -74.408789724112","Land (beach, shoreline and inland)",2016-09-15,"American Water- Brigantine Cove",15,0,15,75,0.25,15,37,65,17,17,47,11,12,25,12,55,9,23,49,32,4,20,22,7,1,4,7,14,0,0,6,3,14,21,0,0,8,4,1,16,0,1,3,0,0,7,0,1,0,26,38,130,769
7840,"Cape May County, NJ, USA","New Jersey, USA","United States","39.155772144299, -74.816991090775","Land (beach, shoreline and inland)",2016-10-27,"Dennis Township Middle School- Beaver Swamp Wildlife Management Area",3,12,15,100,2.5,12,23,40,3,10,35,0,0,7,1,26,26,50,8,0,1,3,0,8,0,0,0,1,0,0,1,6,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,100,0,150,503
13077,"Ocean County, NJ, USA","New Jersey, USA","United States","39.734155135627, -74.205694198608","Land (beach, shoreline and inland)",2016-10-22,"Edwin B. Forsythe National Wildlife Refuge",174,0,174,300,10,0,43,153,60,60,58,16,0,31,12,135,85,133,28,9,5,17,1,5,0,3,0,0,0,2,6,30,0,2,0,1,4,11,1,23,0,1,0,0,0,0,0,4,0,54,1,26,1020
14158,"Atlantic County, NJ, USA","New Jersey, USA","United States","39.398165410616, -74.37237739563","Land (beach, shoreline and inland)",2016-09-17,"Phlock of South Jersey- COA",7,0,7,80,0.25,12,0,36,0,4,47,10,12,30,8,17,0,0,6,0,1,2,11,0,0,2,7,6,0,1,6,0,9,0,0,0,9,1,3,0,0,0,1,0,0,1,0,0,0,4,0,16,250
14159,"Atlantic County, NJ, USA","New Jersey, USA","United States","39.32724763843, -74.498151540756","Land (beach, shoreline and inland)",2016-09-17,"Runnemede NJ, Triton Regional High School - COA",35,0,35,75,1,40,0,75,0,1,194,32,0,26,24,6,7,7,20,21,4,25,8,8,2,0,1,0,0,1,2,0,0,4,0,0,4,5,4,5,0,0,10,0,1,0,0,3,0,27,0,62,589
14160,"Essex County, NJ, USA","New Jersey, USA","United States","40.804072653045, -74.208784103394","Land (beach, shoreline and inland)",2016-09-17,"Tony's Book- Aveda, Jersey Cares & Girls Club of Glen Ridge- COA",10,0,10,20,0.25,20,0,153,0,3,7,0,7,7,1,112,57,68,25,11,0,3,9,14,0,0,0,0,0,0,4,24,0,61,0,0,6,2,0,0,0,1,3,0,0,0,0,0,0,4,0,0,582
14161,"Essex County, NJ, USA","New Jersey, USA","United States","40.830501821222, -74.19417142868","Land (beach, shoreline and inland)",2016-09-17,"The Glen- Girl Scout Troop 20064, Cedar Grove Bay Scout Troop 65, Phi Theta Kappa - COA",60,0,60,60,0.25,30,0,355,4,3,41,4,6,36,5,218,16,31,84,28,3,10,23,81,0,2,0,0,0,0,8,27,0,23,0,2,6,38,2,2,0,0,13,0,0,0,0,2,0,251,5,99,1428
14162,"Cape May County, NJ, USA","New Jersey, USA","United States","39.091608015442, -74.718977808952","Land (beach, shoreline and inland)",2016-09-17,"32nd St. Beach- Avalon Public Works- COA",9,0,9,200,2,4,0,12,0,1,32,3,11,0,2,29,1,24,37,0,0,0,1,0,0,0,2,15,0,0,2,2,1,0,0,0,32,1,7,0,0,0,7,0,0,0,0,0,0,0,0,18,240
14163,"Cape May County, NJ, USA","New Jersey, USA","United States","38.929168568685, -74.933409690857","Land (beach, shoreline and inland)",2016-09-17,"2nd Ave.- Lower Cape Map Regional High School- COA",25,0,25,200,3,12,0,62,1,2,25,7,20,18,9,22,9,4,42,21,1,3,3,2,0,0,1,2,0,0,6,2,2,3,0,0,8,7,2,1,0,0,4,0,2,2,0,5,0,22,0,86,406
14164,"Cape May County, NJ, USA","New Jersey, USA","United States","39.150763636538, -74.691989421844","Land (beach, shoreline and inland)",2016-09-17,"Sea Isle City- COA",2,0,2,20,0.25,0,0,442,5,5,249,179,73,135,41,209,109,178,100,88,33,36,66,33,5,1,8,9,0,6,47,39,10,0,0,0,61,45,18,7,0,0,80,0,4,1,0,5,0,170,0,220,2717
14165,"Cape May County, NJ, USA","New Jersey, USA","United States","39.052459948286, -74.754527807236","Land (beach, shoreline and inland)",2016-09-17,"Stone Harbor- COA",11,0,11,250,3,11,0,56,1,1,67,1,20,33,3,67,16,30,29,53,0,1,6,9,0,0,2,28,0,0,13,0,5,3,0,0,27,7,1,8,0,0,32,0,0,0,0,0,0,24,0,95,638
14166,"Cape May County, NJ, USA","New Jersey, USA",,"39.017933337662, -74.948070645332","Land (beach, shoreline and inland)",2016-09-17,"Villas- COA",4,0,4,25,1,6,0,8,0,0,18,5,10,12,2,22,27,15,21,10,0,3,5,4,0,0,2,0,0,0,7,0,0,0,0,1,8,15,4,0,0,0,2,0,1,0,0,0,0,9,10,12,233
14167,"Cape May County, NJ, USA","New Jersey, USA","United States","38.988285169934, -74.803816080093","Land (beach, shoreline and inland)",2016-09-17,"Wildwood, Poplar Ave.- Wildwood Middle, High School, Catholic High School- COA",40,0,40,50,1,10,0,39,0,0,13,0,6,11,13,15,3,5,24,27,2,11,4,1,0,0,0,1,0,0,0,8,5,1,0,0,4,7,0,0,0,0,1,0,0,1,0,0,0,5,0,42,249
14168,"Cape May County, NJ, USA","New Jersey, USA","United States","39.04395278445, -74.932315349579","Land (beach, shoreline and inland)",2016-09-17,"Sunray Beach- COA",1,0,1,1,0.25,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,13
14169,"Middlesex County, NJ, USA","New Jersey, USA","United States","40.460066482771, -74.248341321945","Land (beach, shoreline and inland)",2016-09-17,"Old Bridge Waterfront Park, Sayreville- COA",92,0,92,92,0.25,0,0,425,11,11,767,6,200,266,42,242,56,71,270,50,9,16,48,34,0,2,10,6,0,0,28,47,0,0,0,0,23,19,7,0,0,3,39,0,11,0,3,22,0,546,38,595,3923
14170,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.232269308403, -73.996685743332","Land (beach, shoreline and inland)",2016-09-17,"Euclid Ave.- Brownie Troop 1059- COA",18,0,18,250,0.5,10,0,12,0,0,47,0,20,11,3,6,0,3,9,8,0,3,0,0,0,0,0,10,0,0,6,5,0,0,0,0,9,0,1,0,0,0,8,0,0,0,0,16,0,8,0,17,202
14214,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.228513749589, -73.996610641479","Land (beach, shoreline and inland)",2016-09-17,"Ashbury Park- Surfrider- COA",2,0,2,10,0.25,0,0,62,0,0,41,21,21,41,11,40,7,12,29,12,1,3,9,7,1,1,8,3,0,0,10,0,0,3,0,0,2,1,2,0,0,0,1,0,0,0,0,12,0,27,0,75,463
14215,"Monmouth County, NJ, USA","New Jersey, USA",,"40.193253769189, -74.008444547653","Land (beach, shoreline and inland)",2016-09-17,"Avon Pavillion- Avon Environmental Commission- COA",2,0,2,10,0.25,0,0,154,0,2,170,101,31,83,14,62,43,1,37,26,20,5,31,28,3,0,2,7,0,0,0,31,0,8,0,0,41,32,2,6,0,0,15,0,1,0,0,13,0,9,7,89,1074
14216,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.201252064177, -74.00649189949","Land (beach, shoreline and inland)",2016-09-17,"Bradley Beach- COA",33,0,33,50,0.5,20,210,0,0,4,428,22,100,251,28,36,14,7,44,16,2,5,31,0,2,3,4,8,0,0,14,1,2,4,0,0,27,0,8,2,0,0,12,0,0,0,2,19,0,64,14,482,1866
14217,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.407719123022, -73.993139863014","Land (beach, shoreline and inland)",2016-09-17,"Snug Harbor, Highlands- COA",2,0,2,4,0.25,3,0,6,0,0,15,0,5,20,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,1,0,6,19,62,155
14219,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.441106990426, -74.194302856922","Land (beach, shoreline and inland)",2016-09-17,"Cedar St. Park, Keyport-  COA",25,0,25,250,0.25,15,53,80,2,4,47,18,10,13,3,23,24,39,0,17,0,5,19,19,2,0,1,3,0,6,0,4,0,1,0,0,0,0,6,0,0,0,3,0,1,0,0,5,0,114,0,128,650
14220,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.301785264795, -73.977910280228","Land (beach, shoreline and inland)",2016-09-17,"Pier Village, Long Branch- COA",2,0,2,10,0.25,0,955,512,10,22,411,148,100,102,40,82,27,18,50,109,7,35,56,42,8,3,2,6,0,5,14,25,1,40,0,1,38,214,14,6,0,0,16,0,10,0,0,26,0,100,46,672,3973
14221,"Monmouth County, NJ, USA","New Jersey, USA",,"40.111245577612, -74.033153057098","Land (beach, shoreline and inland)",2016-09-17,"Main St. Beach, Manasquan- COA",65,0,65,80,1,20,55,180,0,4,495,0,74,215,21,41,1,1,0,0,0,1,15,0,1,0,3,1,0,1,2,2,1,4,0,0,13,7,2,1,0,0,8,0,0,1,0,8,0,45,0,305,1508
14224,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.440401509911, -74.094570279121","Land (beach, shoreline and inland)",2016-09-17,"Bayshore Waterfront Park, Middletown- COA",20,0,20,100,1,10,156,63,0,16,207,4,83,77,13,32,5,0,23,4,0,0,2,17,1,0,7,0,0,2,2,2,3,16,0,0,3,0,37,2,0,0,3,0,1,0,0,14,0,48,0,531,1374
14225,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.444285308408, -74.110379219055","Land (beach, shoreline and inland)",2016-09-17,"Ideal Beach, Middletown- COA",12,0,12,24,0.25,0,3,2,0,3,17,0,5,10,5,51,0,0,14,9,0,12,3,54,5,1,0,1,0,0,28,5,2,7,0,0,3,3,1,0,0,0,0,0,0,0,0,7,0,0,0,39,290
14226,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.422979336684, -74.059181213379","Land (beach, shoreline and inland)",2016-09-17,"Leonardo Public Beach, Middletown- COA",4,0,4,8,0.25,0,0,20,0,0,0,0,0,5,0,0,0,0,2,4,0,0,2,2,0,0,1,0,0,0,3,0,0,3,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,10,0,30,86
14227,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.332838238456, -73.973168134689","Land (beach, shoreline and inland)",2016-09-17,"Monmouth Beach- COA",17,0,17,55,2.5,18,108,115,0,0,353,0,100,230,36,79,0,0,10,38,0,0,27,0,0,0,5,3,0,1,6,11,0,100,0,0,0,56,1,0,0,0,0,0,0,0,1,0,0,0,0,195,1475
14232,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.211246557823, -74.002838730812","Land (beach, shoreline and inland)",2016-09-17,"Ocean Grove- COA",2,0,2,2,0.25,0,44,45,0,0,20,0,14,12,9,11,6,6,18,5,1,2,8,5,0,0,0,0,0,0,0,4,6,2,0,0,1,2,0,0,0,0,0,0,0,1,1,1,0,16,0,24,264
14233,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.352065101084, -74.069970399141","Land (beach, shoreline and inland)",2016-09-17,"Maple Cove, RedBank- COA",2,0,2,2,0.25,0,57,85,0,2,10,1,8,16,2,7,0,5,5,4,0,3,2,3,0,0,1,0,0,1,0,0,3,3,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,53,2,138,418
14235,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.376321233505, -74.013318121433","Land (beach, shoreline and inland)",2016-09-17,"Victory Park, Rumson- COA",14,0,14,50,0.25,12,10,55,1,0,8,3,4,11,2,5,5,1,1,5,0,0,2,1,1,0,0,4,0,0,4,1,0,10,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,6,35,183
14238,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.354745056912, -73.972250819206","Land (beach, shoreline and inland)",2016-09-17,"Tradewinds, Sea Bright- COA",3,0,3,30,0.5,5,0,45,0,15,35,0,15,10,10,15,2,3,4,3,0,20,0,13,2,3,0,0,0,0,2,2,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,60,0,15,0,40,325
14239,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.363004201661, -73.972207903862","Land (beach, shoreline and inland)",2016-09-17,"Anchorage, Sea Bright- COA",15,0,15,100,0.25,20,2,76,0,0,215,0,55,157,20,52,7,20,21,20,7,0,13,3,0,1,3,0,0,1,5,12,0,8,0,0,11,26,3,0,0,0,12,0,1,2,6,34,0,17,2,118,930
14240,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.150861817288, -74.033968448639","Land (beach, shoreline and inland)",2016-09-17,"South End Pavillion, Spring Lake - COA",23,0,23,46,1,46,22,73,2,2,166,12,54,66,14,0,12,1,37,32,2,4,10,2,0,2,6,13,0,0,0,6,1,0,0,0,14,15,2,0,0,0,19,0,3,0,1,6,0,8,0,89,696
14241,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.453398919314, -74.173027575016","Land (beach, shoreline and inland)",2016-09-17,"Union Beach- COA",59,0,59,1000,1.5,44,114,103,0,3,239,16,78,155,36,39,14,16,15,9,2,2,14,26,34,3,10,5,0,1,11,14,10,9,0,0,8,41,12,0,0,0,1,0,2,0,1,65,0,194,0,187,1489
14242,"Monmouth County, NJ, USA","New Jersey, USA","United States","40.188010522455, -74.058296084404","Land (beach, shoreline and inland)",2016-09-17,"Marine & Environmental Science Station, Wall- COA",16,0,16,500,0.5,19,0,83,0,5,15,0,13,5,10,122,71,17,30,9,0,8,134,3,15,0,0,0,0,0,6,9,0,5,0,0,1,1,1,1,0,0,5,0,0,0,0,0,0,47,12,15,643
14243,"Monmouth County, NJ, USA","New Jersey, USA",,"40.433343260837, -73.983671665192","Land (beach, shoreline and inland)",2016-09-17,"Sandy Hook- COA",2,0,2,10,0.25,0,184,772,0,5,659,56,200,258,109,211,100,45,55,207,18,44,54,107,9,4,14,20,0,8,36,22,1,30,0,0,22,82,15,11,0,0,14,0,9,6,1,68,0,316,46,1017,4835
14244,"Ocean County, NJ, USA","New Jersey, USA","United States","40.054402807479, -74.13273409009","Land (beach, shoreline and inland)",2016-09-17,"Brick- COA",60,0,60,120,0.25,0,26,180,0,2,14,8,0,63,8,108,20,27,18,34,22,14,20,21,18,1,4,5,0,0,12,18,0,2,0,0,44,14,1,6,0,0,18,0,0,2,1,2,0,22,7,32,794
14245,"Ocean County, NJ, USA","New Jersey, USA","United States","39.97055078943, -74.065532684326","Land (beach, shoreline and inland)",2016-09-17,"Lavalette Beach- COA",40,0,40,80,0.5,20,2,26,0,0,23,4,12,34,10,16,2,0,8,8,12,0,1,1,0,4,2,10,0,3,4,0,1,0,0,0,2,3,0,0,0,0,1,0,5,0,0,3,0,7,0,29,233
14246,"Ocean County, NJ, USA","New Jersey, USA","United States","39.638083439, -74.181489944458","Land (beach, shoreline and inland)",2016-09-17,"Long Beach Island- COA",42,0,42,84,0.25,0,256,161,0,2,168,15,24,125,12,68,16,18,51,31,1,3,10,15,28,0,17,43,0,2,70,19,5,35,0,0,27,62,3,9,0,1,15,0,1,0,1,15,0,141,20,294,1784
14247,"Ocean County, NJ, USA","New Jersey, USA","United States","39.95748429214, -74.067656993866","Land (beach, shoreline and inland)",2016-09-17,"Ortley Beach- COA",14,0,14,26,0.25,0,30,13,0,0,8,0,0,0,10,7,0,1,5,8,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,3,0,0,0,2,1,0,4,0,25,133
14248,"Ocean County, NJ, USA","New Jersey, USA","United States","40.093257050873, -74.036318063736","Land (beach, shoreline and inland)",2016-09-17,"Point Pleasant Beach- COA",2,0,2,10,0.25,0,188,100,2,2,30,8,28,163,41,70,6,8,5,14,48,5,48,8,0,1,5,0,0,0,0,9,5,4,0,0,5,61,0,0,0,0,15,0,0,0,0,4,0,18,8,87,996
14251,"Ocean County, NJ, USA","New Jersey, USA","United States","40.076762021844, -74.040770530701","Land (beach, shoreline and inland)",2016-09-17,"Martland Ave., Point Pleasant Beach- COA",155,0,155,1500,2,25,51,154,0,1,167,16,100,116,20,50,6,3,28,29,1,4,18,39,1,2,6,7,0,0,13,0,3,5,0,0,36,26,1,6,0,0,28,0,2,8,0,7,0,68,0,351,1373
14252,"Ocean County, NJ, USA","New Jersey, USA","United States","40.088309782637, -74.071577042341","Land (beach, shoreline and inland)",2016-09-17,"Maxson Ave., Point Pleasant- COA",7,0,7,14,0.25,1,32,3,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,3,0,2,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,18,79
14253,"Ocean County, NJ, USA","New Jersey, USA","United States","39.942256082574, -74.070183634758","Land (beach, shoreline and inland)",2016-09-17,"Grant Ave., Seaside Heights- COA",60,0,60,120,0.25,0,360,72,0,0,123,58,31,87,22,26,19,19,7,10,1,9,8,12,0,0,1,3,0,1,6,4,0,3,0,0,16,72,1,1,0,0,10,0,0,0,0,3,0,17,0,179,1181
14254,"Ocean County, NJ, USA","New Jersey, USA","United States","39.909867908324, -74.077634811401","Land (beach, shoreline and inland)",2016-09-17,"South Seaside Park- COA",5,0,5,10,0.25,0,120,176,0,0,104,14,67,114,8,12,1,13,17,0,1,2,13,0,0,4,4,10,0,0,13,5,10,5,0,0,13,9,2,0,0,0,4,0,1,1,0,6,0,54,4,307,1114
14255,"Ocean County, NJ, USA","New Jersey, USA","United States","39.905357937015, -74.078160524368","Land (beach, shoreline and inland)",2016-09-17,"24th Ave., Seaside Park- COA",2,0,2,10,0.25,0,20,17,0,0,8,5,0,3,2,7,1,0,1,9,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,98,192
