"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
286,"Suffolk County, NY, USA","New York, USA","United States","40.65138, -73.34261","Land (beach, shoreline and inland)",2015-05-25,,4,0,4,24.07,0.0032,0,0,0,0,0,15,0,5,0,0,8,40,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,21,120
1779,"New York County, NY, USA","New York, USA","United States","40.7481, -73.98559","Land (beach, shoreline and inland)",2016-02-18,,1,0,1,0.05,0.0144,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2307,"Suffolk County, NY, USA","New York, USA","United States","40.95735, -72.91436","Land (beach, shoreline and inland)",2016-05-28,,12,0,12,24.38,0.0042,0,18,25,23,10,13,0,8,12,15,30,12,26,12,0,0,26,0,0,0,0,0,0,6,0,0,0,0,0,10,0,3,0,0,0,0,0,3,47,0,0,0,0,8,0,0,62,369
2356,"Westchester County, NY, USA","New York, USA","United States","40.99698, -73.88491","Land (beach, shoreline and inland)",2016-05-30,,1,0,1,0.03,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2376,"Westchester County, NY, USA","New York, USA","United States","40.99661, -73.88441","Land (beach, shoreline and inland)",2016-06-02,,1,0,1,1.75,0.0792,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6
3094,"Suffolk County, NY, USA","New York, USA","United States","40.81928, -73.41323","Land (beach, shoreline and inland)",2016-08-24,,1,0,1,10.47,0.0107,0,0,10,3,3,10,0,4,7,10,15,6,11,7,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,7,0,4,0,0,0,0,0,2,6,0,0,0,0,4,0,0,13,130
3111,"Nassau County, NY, USA","New York, USA","United States","40.59585, -73.4962","Land (beach, shoreline and inland)",2016-08-24,,1,0,1,0.64,0.0258,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,5
3112,"Nassau County, NY, USA","New York, USA","United States","40.59426, -73.49852","Land (beach, shoreline and inland)",2016-08-24,,1,0,1,0.31,0,0,5,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,15
3155,"Nassau County, NY, USA","New York, USA","United States","40.68643, -73.72135","Land (beach, shoreline and inland)",2016-08-28,,1,0,1,0.23,0.0646,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
3760,"Queens County, NY, USA","New York, USA","United States","40.55938, -73.8902","Land (beach, shoreline and inland)",2016-09-09,"State Department SK",1,0,1,1.33,0.2723,0,10,3,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,41
3763,"Queens County, NY, USA","New York, USA","United States","40.56149, -73.88438","Land (beach, shoreline and inland)",2016-09-09,"Department of State - New York Field Office",5,0,5,9.88,15.2847,0,88,17,7,0,74,0,8,20,9,5,0,0,7,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,43,0,0,0,0,14,0,0,76,374
5449,"New York County, NY, USA","New York, USA","United States","40.86768, -73.92203","Land (beach, shoreline and inland)",2016-09-21,,1,0,1,0.62,0.0166,0,8,0,0,0,3,0,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
5450,"New York County, NY, USA","New York, USA","United States","40.86775, -73.92211","Land (beach, shoreline and inland)",2016-09-20,,1,0,1,0.21,0.0272,0,2,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9
