"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
187,"Carteret County, NC, USA","North Carolina, USA","United States","34.69786, -76.75142","Land (beach, shoreline and inland)",2015-05-06,,1,0,1,3.13,2.7773,0,38,4,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4,56
188,"Carteret County, NC, USA","North Carolina, USA","United States","34.73331, -76.76281","Land (beach, shoreline and inland)",2015-05-06,,1,0,1,1.08,0.0165,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
189,"Carteret County, NC, USA","North Carolina, USA","United States","34.73881, -76.82522","Land (beach, shoreline and inland)",2015-05-06,,2,0,2,0.07,0.0021,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
190,"Carteret County, NC, USA","North Carolina, USA","United States","34.7329, -76.77065","Land (beach, shoreline and inland)",2015-05-07,,2,0,2,5.06,0.4234,0,29,14,0,0,0,0,0,1,0,3,0,7,2,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,81
191,"Carteret County, NC, USA","North Carolina, USA","United States","34.69891, -76.74644","Land (beach, shoreline and inland)",2015-05-08,,2,0,2,1.17,0.0137,0,0,3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,12
192,"Carteret County, NC, USA","North Carolina, USA","United States","34.69891, -76.74644","Land (beach, shoreline and inland)",2015-05-08,,2,0,2,1.17,0.0137,0,0,3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,12
201,"Carteret County, NC, USA","North Carolina, USA","United States","34.69715, -76.76967","Land (beach, shoreline and inland)",2015-05-11,,1,0,1,1.49,0.3416,0,2,1,3,0,11,0,4,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,16,48
206,"Carteret County, NC, USA","North Carolina, USA","United States","34.69731, -76.76711","Land (beach, shoreline and inland)",2015-05-13,,2,0,2,3.15,0.0019,0,0,0,2,0,7,0,2,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,41
211,"Carteret County, NC, USA","North Carolina, USA","United States","34.69833, -76.72338","Land (beach, shoreline and inland)",2015-05-17,,2,0,2,3.47,0.29,0,18,23,0,0,4,0,0,0,0,4,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,6,83
212,"Carteret County, NC, USA","North Carolina, USA","United States","34.69731, -76.76711","Land (beach, shoreline and inland)",2015-05-13,,2,0,2,3.15,0.0019,0,0,0,2,0,7,0,2,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,41
