"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
594,"Curry County, OR, USA","Oregon, USA","United States","42.07534, -124.31704","Land (beach, shoreline and inland)",2015-07-28,,1,0,1,5.18,0.1595,0,28,10,3,1,3,0,2,6,2,6,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,12,0,0,0,0,6,0,0,21,117
627,"Curry County, OR, USA","Oregon, USA","United States","42.04262, -124.26569","Land (beach, shoreline and inland)",2015-07-30,,1,0,1,0.8,0.3162,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
652,"Curry County, OR, USA","Oregon, USA","United States","42.07509, -124.31787","Land (beach, shoreline and inland)",2015-07-31,,1,0,1,2.79,0.1796,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,5,15
1243,"Hood River County, OR, USA","Oregon, USA","United States","45.70684, -121.51878","Land (beach, shoreline and inland)",2015-11-17,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2821,"Curry County, OR, USA","Oregon, USA","United States","42.40464, -124.42269","Land (beach, shoreline and inland)",2016-07-07,,1,0,1,0.54,0.0377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2979,"Curry County, OR, USA","Oregon, USA","United States","42.08024, -124.32032","Land (beach, shoreline and inland)",2016-07-28,,1,0,1,4.15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,15
3099,"Linn County, OR, USA","Oregon, USA","United States","44.21397, -123.02556","Land (beach, shoreline and inland)",2016-08-24,,1,0,1,1.11,0.0068,0,29,0,0,0,0,0,0,0,0,5,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,48
3338,"Lane County, OR, USA","Oregon, USA","United States","44.03733, -122.97959","Land (beach, shoreline and inland)",2016-08-13,,1,0,1,1.62,0,0,3,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,57,84
3684,"Lane County, OR, USA","Oregon, USA","United States","44.03733, -122.97959","Land (beach, shoreline and inland)",2016-07-30,,1,0,1,1.13,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,4,13
3749,"Tillamook County, OR, USA","Oregon, USA","United States","45.65863, -123.9425","Land (beach, shoreline and inland)",2016-09-08,No,1,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
