"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
208,"Newport County, RI, USA","Rhode Island, USA","United States","41.4593, -71.31908","Land (beach, shoreline and inland)",2015-05-14,,1,0,1,6.81,0.72,0,1,5,3,0,11,0,2,1,2,10,0,2,9,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,4,0,10,0,0,0,0,0,4,3,0,0,0,0,2,0,0,6,83
877,"Washington County, RI, USA","Rhode Island, USA","United States","41.33073, -71.76282","Land (beach, shoreline and inland)",2015-09-19,,1,0,1,27.76,1.0444,0,156,20,2,4,8,0,12,10,4,3,16,9,13,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,1,0,6,0,0,0,0,0,0,90,0,0,0,0,1,0,0,48,417
2242,"Providence County, RI, USA","Rhode Island, USA","United States","41.78554, -71.3812","Land (beach, shoreline and inland)",2016-05-19,,2,0,2,1.75,0.0274,0,0,2,0,0,4,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,14,37
2348,"Providence County, RI, USA","Rhode Island, USA","United States","41.81577, -71.41037","Land (beach, shoreline and inland)",2016-05-31,,1,0,1,2.34,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11
2499,"Providence County, RI, USA","Rhode Island, USA","United States","41.78531, -71.38112","Land (beach, shoreline and inland)",2016-06-10,,2,0,2,3.04,0.1115,0,2,9,0,1,19,0,0,9,0,8,0,0,11,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,24,98
2860,"Washington County, RI, USA","Rhode Island, USA","United States","41.16311, -71.54883","Land (beach, shoreline and inland)",2016-07-12,,1,0,1,0.4,0,0,1,0,0,0,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10
2881,"Newport County, RI, USA","Rhode Island, USA","United States","41.64233, -71.22853","Land (beach, shoreline and inland)",2016-07-16,,1,0,1,0.43,0.0104,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,6
2951,"Newport County, RI, USA","Rhode Island, USA","United States","41.64283, -71.23247","Land (beach, shoreline and inland)",2016-07-25,,1,0,1,5.98,0.1619,0,3,26,2,1,4,0,0,4,2,5,3,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,13,101
3074,"Providence County, RI, USA","Rhode Island, USA","United States","41.78567, -71.38146","Land (beach, shoreline and inland)",2016-08-23,,1,0,1,1.25,0.15,0,8,6,0,0,10,0,1,1,0,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,48
3661,"Providence County, RI, USA","Rhode Island, USA","United States","41.78582, -71.38147","Land (beach, shoreline and inland)",2016-08-03,,6,0,6,2.04,0.1401,0,20,5,1,2,5,0,0,3,0,1,1,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,67
