"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
181,"Beaufort County, SC, USA","South Carolina, USA","United States","32.31893, -80.4759","Land (beach, shoreline and inland)",2015-05-10,,3,0,3,1.18,0.0393,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
193,"Beaufort County, SC, USA","South Carolina, USA","United States","32.31893, -80.4759","Land (beach, shoreline and inland)",2015-05-10,,3,0,3,1.18,0.0393,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
202,"Beaufort County, SC, USA","South Carolina, USA","United States","32.39425, -80.68619","Land (beach, shoreline and inland)",2015-05-11,,4,0,4,0.08,0.0772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
205,"Beaufort County, SC, USA","South Carolina, USA","United States","32.31425, -80.47787","Land (beach, shoreline and inland)",2015-05-13,,1,0,1,1.23,1.1665,0,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,13
209,"Horry County, SC, USA","South Carolina, USA","United States","33.82646, -78.65405","Land (beach, shoreline and inland)",2015-05-16,,5,0,5,6.75,17.7081,0,13,29,1,0,9,0,0,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0,0,4,5,0,0,0,0,2,0,0,57,134
210,"Beaufort County, SC, USA","South Carolina, USA","United States","32.30928, -80.49204","Land (beach, shoreline and inland)",2015-05-17,,8,0,8,2.18,0.0296,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,10
214,"Beaufort County, SC, USA","South Carolina, USA","United States","32.31496, -80.47681","Land (beach, shoreline and inland)",2015-05-15,,4,0,4,0.12,2.3619,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
221,"Beaufort County, SC, USA","South Carolina, USA","United States","32.31909, -80.46216","Land (beach, shoreline and inland)",2015-05-16,,4,0,4,0.25,0.0187,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
223,"Beaufort County, SC, USA","South Carolina, USA","United States","32.3146, -80.47739","Land (beach, shoreline and inland)",2015-05-17,,8,0,8,1.65,0.1841,0,1,2,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21
231,"Beaufort County, SC, USA","South Carolina, USA","United States","32.31247, -80.48396","Land (beach, shoreline and inland)",2015-05-17,,3,0,3,0.12,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
235,"Beaufort County, SC, USA","South Carolina, USA","United States","32.30816, -80.49486","Land (beach, shoreline and inland)",2015-05-16,,4,0,4,0.27,1.0195,0,0,0,0,0,0,0,1,0,0,2,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
