"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
501,"Travis County, TX, USA","Texas, USA","United States","30.22494, -97.84326","Land (beach, shoreline and inland)",2015-06-20,,1,0,1,0.72,0.0274,0,1,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9
589,"Travis County, TX, USA","Texas, USA","United States","30.27927, -97.73879","Land (beach, shoreline and inland)",2015-07-27,,1,0,1,0.6,0.0219,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
1062,"Galveston County, TX, USA","Texas, USA","United States","29.45672, -94.641","Land (beach, shoreline and inland)",2015-09-26,,3,0,3,41.65,3.5197,0,156,55,11,1,83,0,17,21,2,12,3,5,19,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,22,0,19,0,0,0,0,0,10,153,0,0,0,0,33,0,0,206,844
1915,"Harris County, TX, USA","Texas, USA","United States","29.76297, -95.62185","Land (beach, shoreline and inland)",2016-04-22,,1,0,1,0.02,0.0094,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2871,"Nueces County, TX, USA","Texas, USA","United States","27.83652, -97.05182","Land (beach, shoreline and inland)",2016-07-12,,3,0,3,10.8,0.0474,0,7,2,14,0,94,0,0,14,24,3,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,19,0,0,0,0,4,0,0,118,316
2875,"Nueces County, TX, USA","Texas, USA","United States","27.8364, -97.05309","Land (beach, shoreline and inland)",2016-07-15,,1,0,1,0.02,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2891,"Nueces County, TX, USA","Texas, USA","United States","27.83637, -97.05724","Land (beach, shoreline and inland)",2016-07-15,,3,0,3,4.3,1.7374,0,2,1,5,0,10,0,4,8,6,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,2,0,0,31,84
3273,"Harris County, TX, USA","Texas, USA","United States","29.65319, -95.02568","Land (beach, shoreline and inland)",2016-08-19,,2,0,2,5.72,0.0526,0,12,5,4,2,2,0,2,6,1,4,2,1,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,13,84
3294,"Brazoria County, TX, USA","Texas, USA","United States","29.58647, -95.28698","Land (beach, shoreline and inland)",2016-08-17,,2,0,2,1.05,0.0146,0,10,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,21
3773,"Nueces County, TX, USA","Texas, USA","United States","27.80612, -97.08271","Land (beach, shoreline and inland)",2016-09-09,,2,0,2,7.42,2.3319,0,2,15,19,0,53,0,0,6,5,20,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,68,200
