"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
3224,"Kitsap County, WA, USA","Washington, USA","United States","47.70106, -122.5311","Land (beach, shoreline and inland)",2016-09-06,,1,0,1,2.55,0,0,0,1,2,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15
3468,"King County, WA, USA","Washington, USA","United States","47.59513, -122.32893","Land (beach, shoreline and inland)",2016-08-12,,1,0,1,0.82,0.0166,0,2,1,1,1,0,0,2,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
3836,"King County, WA, USA","Washington, USA","United States","47.318225, -122.4071037","Land (beach, shoreline and inland)",2016-09-07,"Puget Soundkeeper Alliance",5,50,55,226.5,0.5,8,536,721,0,0,102,4,4,21,41,75,150,130,19,10,6,32,23,0,0,0,0,0,0,0,33,3,53,0,0,1,6,0,2,69,0,0,2,0,1,6,0,0,0,67,157,584,2858
3837,"King County, WA, USA","Washington, USA","United States","47.7116232, -122.3721688","Land (beach, shoreline and inland)",2016-09-09,"Puget Soundkeeper Alliance",8,100,108,92,0.5,6,173,180,13,2,28,45,7,31,4,33,74,87,2,13,5,14,13,0,0,0,0,2,0,3,22,1,14,10,0,1,16,1,1,24,7,1,0,0,0,0,7,4,0,23,165,171,1197
3838,"King County, WA, USA","Washington, USA","United States","47.5291963, -122.3967711","Land (beach, shoreline and inland)",2016-09-09,"Puget Soundkeeper Alliance",22,0,22,64,1,8,819,460,10,2,81,94,8,26,21,71,64,129,3,30,23,35,9,1,0,1,1,4,0,1,43,8,27,14,0,0,78,3,1,9,10,0,0,0,2,2,2,1,0,34,45,382,2554
3862,"King County, WA, USA","Washington, USA","United States","47.60857, -122.34142","Land (beach, shoreline and inland)",2016-09-13,,1,0,1,0.04,0.0114,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3963,"Kitsap County, WA, USA","Washington, USA","United States","47.64497, -122.50787","Land (beach, shoreline and inland)",2016-09-16,"Bainbridge island",2,0,2,6.09,0.3662,0,2,10,1,0,0,0,1,2,0,5,2,5,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,112,162
4772,"Snohomish County, WA, USA","Washington, USA","United States","47.81246, -122.38383","Land (beach, shoreline and inland)",2016-09-17,"Beach cleanup Edmonds",1,0,1,0.84,0.7339,0,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,30
4776,"Snohomish County, WA, USA","Washington, USA","United States","47.81093, -122.38633","Land (beach, shoreline and inland)",2016-09-17,"Edmonds ",3,0,3,16.88,0.0023,0,269,33,0,0,8,0,0,3,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,7,0,0,0,0,7,0,0,141,493
4779,"Snohomish County, WA, USA","Washington, USA","United States","47.81307, -122.38205","Land (beach, shoreline and inland)",2016-09-17,"Beach Clean Edmonds",1,0,1,12.89,0.2443,0,144,5,4,0,9,0,0,0,3,5,9,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,3,25,0,0,0,0,3,0,0,22,254
4785,"Snohomish County, WA, USA","Washington, USA","United States","47.80427, -122.39409","Land (beach, shoreline and inland)",2016-09-17,"Beach cleanup Edmonds",2,0,2,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3,23
4871,"Snohomish County, WA, USA","Washington, USA","United States","47.8132, -122.38243","Land (beach, shoreline and inland)",2016-09-17,"Beach Clean EdmondsBeach Clean Edmonds",1,0,1,7.88,2.355,0,165,49,0,3,7,0,1,2,2,3,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,5,6,0,0,0,0,3,0,0,10,263
4930,"Snohomish County, WA, USA","Washington, USA","United States","47.8109, -122.38635","Land (beach, shoreline and inland)",2016-09-17,"Beach clean Edmonds ",3,0,3,6.18,0,0,75,4,5,0,5,0,2,1,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,0,0,0,0,1,0,0,39,152
